Cliente,Saída,Chegada,Estadia (em dias),Estrelas,Orçamento (em reais)
0,BH,SAO,4,3,5400
1,FLN,RIO,10,5,2900
2,FLN,REC,7,3,3500
3,PMW,SAO,4,5,5000
4,BSB,SAO,2,3,4900
5,SSA,POA,4,5,3400
6,SSA,PMW,2,3,2700
7,BSB,PMW,7,4,5300
8,FLN,REC,7,3,3300
9,BSB,SSA,4,4,2400
10,BH,BSB,9,3,3800
11,SSA,BSB,6,4,5400
12,FLN,BH,8,5,4500
13,RIO,SSA,7,3,4400
14,SP,SSA,2,3,2700
15,RIO,BSB,2,4,4000
16,SAO,RIO,9,5,4800
17,MCZ,SAO,3,5,5200
18,SSA,PMW,3,3,2900
19,FLN,SSA,10,5,2400
20,MCZ,SSA,5,4,2400
21,SAO,SAO,9,4,5100
22,SAO,REC,9,4,2600
23,RIO,PMW,3,4,2000
24,BSB,REC,9,5,4000
25,RIO,RIO,10,5,2900
26,POA,SSA,5,4,2300
27,BSB,SAO,7,5,5900
28,POA,BSB,5,4,4100
29,MCZ,MCZ,8,5,4500
30,REC,PMW,2,3,5400
31,MCZ,SAO,9,4,2100
32,BH,FLN,7,5,4600
33,SP,POA,8,5,5600
34,BSB,POA,2,5,5500
35,MCZ,MCZ,3,4,3500
36,POA,POA,10,3,4700
37,BSB,REC,3,3,5800
38,RIO,BH,2,5,5900
39,SSA,REC,8,5,2700
40,SAO,PMW,10,3,3600
41,SSA,SSA,2,4,5500
42,BSB,MCZ,4,5,3100
43,RIO,MCZ,2,3,2200
44,SAO,PMW,6,5,2300
45,SP,REC,10,3,2400
46,BH,RIO,9,3,5600
47,MCZ,BSB,8,3,2200
48,SSA,BSB,9,4,5100
49,SSA,RIO,3,4,4800
50,SSA,RIO,6,4,3500
51,REC,RIO,9,5,3900
52,MCZ,FLN,7,3,2400
53,REC,SAO,7,3,4900
54,SAO,RIO,7,4,2700
55,SP,RIO,3,4,2300
56,SAO,BSB,9,4,2800
57,SSA,SAO,9,3,3600
58,MCZ,FLN,3,5,3800
59,MCZ,REC,9,5,3100
60,SP,MCZ,2,5,2200
61,SSA,BH,9,5,5400
62,SAO,MCZ,10,5,4700
63,REC,REC,8,3,4800
64,BSB,BSB,3,4,5900
65,REC,BH,6,3,3600
66,POA,BH,9,3,4200
67,MCZ,PMW,8,5,4600
68,SSA,MCZ,2,5,3000
69,SAO,BH,4,4,5700
70,POA,FLN,3,4,3900
71,RIO,PMW,4,5,2700
72,POA,RIO,6,5,3500
73,REC,FLN,6,5,4200
74,BSB,PMW,6,4,5100
75,SP,BSB,4,3,5300
76,RIO,POA,10,4,5400
77,REC,POA,2,4,3800
78,PMW,MCZ,7,5,4700
79,MCZ,MCZ,8,4,5000
80,POA,SSA,8,3,2100
81,REC,BSB,4,3,3000
82,BSB,MCZ,4,4,2700
83,BH,POA,8,3,5000
84,SAO,POA,6,4,4500
85,RIO,REC,10,3,4300
86,BH,PMW,9,4,2500
87,RIO,SAO,6,4,3900
88,SSA,FLN,4,5,2200
89,SSA,FLN,9,4,3900
90,BH,RIO,9,3,4400
91,BSB,POA,2,3,5400
92,RIO,PMW,5,5,2600
93,SP,POA,10,3,3000
94,SP,FLN,6,5,2500
95,PMW,PMW,5,3,5200
96,MCZ,FLN,7,4,2800
97,BSB,BSB,4,5,5400
98,SAO,PMW,5,5,3000
99,RIO,SAO,2,5,4500
100,MCZ,POA,2,3,5800
101,REC,POA,10,4,5300
102,FLN,REC,6,5,2100
103,BH,PMW,10,4,2900
104,SAO,BSB,10,3,5400
105,FLN,PMW,8,5,4600
106,FLN,REC,5,4,3300
107,REC,MCZ,5,4,3400
108,MCZ,REC,10,5,2700
109,SSA,SSA,4,3,2700
110,SP,RIO,4,5,3100
111,SP,SAO,9,4,2400
112,POA,PMW,7,3,5500
113,BH,SAO,4,4,3700
114,SSA,BH,4,3,5500
115,RIO,MCZ,5,3,3000
116,MCZ,BH,9,5,5000
117,POA,SSA,4,4,5500
118,FLN,RIO,5,3,5100
119,PMW,FLN,10,3,5700
120,BSB,POA,5,5,5600
121,BH,SAO,9,5,3800
122,REC,BSB,5,5,5900
123,BH,FLN,6,4,2300
124,FLN,POA,6,4,3200
125,SSA,PMW,6,3,2700
126,SAO,MCZ,10,4,4700
127,SSA,SSA,4,5,5300
128,POA,MCZ,3,4,4900
129,SP,MCZ,3,4,4900
130,MCZ,REC,5,5,2000
131,BH,REC,10,3,2400
132,SSA,POA,4,4,4100
133,BSB,SAO,4,5,2300
134,REC,SAO,6,5,5300
135,POA,FLN,4,5,2000
136,SSA,MCZ,3,3,2300
137,BSB,REC,2,5,4200
138,FLN,POA,2,5,3400
139,RIO,PMW,7,4,4100
140,FLN,BH,10,4,2900
141,MCZ,PMW,9,3,4500
142,BSB,FLN,5,3,5900
143,BH,BSB,6,4,5600
144,MCZ,PMW,2,4,3000
145,BSB,PMW,9,4,4900
146,SAO,SAO,9,3,3000
147,RIO,MCZ,9,5,5200
148,RIO,POA,10,4,3800
149,SP,FLN,6,5,2300
150,POA,SAO,6,4,4300
151,REC,BH,10,5,5400
152,RIO,BSB,7,3,2400
153,REC,BH,3,4,5200
154,BH,MCZ,4,5,4100
155,PMW,PMW,3,3,3300
156,POA,SSA,10,4,3400
157,BH,PMW,10,5,5300
158,REC,FLN,2,4,4000
159,REC,SAO,9,5,4700
160,MCZ,FLN,2,5,3100
161,SSA,POA,10,4,4100
162,SSA,PMW,5,4,2700
163,SAO,RIO,3,5,5600
164,BSB,RIO,5,4,3600
165,MCZ,RIO,6,5,4200
166,FLN,REC,6,4,4900
167,RIO,BSB,10,3,5200
168,PMW,PMW,9,4,4400
169,FLN,REC,10,4,3600
170,RIO,RIO,9,5,4400
171,BSB,SSA,2,3,4600
172,POA,BSB,6,5,3200
173,MCZ,MCZ,8,4,5700
174,BH,PMW,4,5,3900
175,BH,MCZ,10,5,2400
176,PMW,PMW,3,4,5600
177,PMW,BH,3,5,3500
178,POA,BSB,9,4,2500
179,BH,SSA,10,4,4100
180,MCZ,SAO,5,5,2200
181,FLN,POA,8,5,2400
182,MCZ,MCZ,2,4,3800
183,MCZ,SAO,9,5,5700
184,BH,BSB,4,5,2100
185,RIO,SAO,4,4,4500
186,POA,MCZ,7,3,4500
187,POA,REC,4,3,3700
188,POA,REC,10,3,4700
189,MCZ,REC,6,5,4000
190,REC,POA,8,5,4000
191,SAO,MCZ,2,4,4200
192,REC,MCZ,8,5,3300
193,REC,POA,2,4,4000
194,SSA,FLN,7,3,4000
195,SSA,FLN,3,5,4000
196,RIO,REC,5,3,3400
197,SAO,SAO,6,3,5100
198,REC,POA,7,3,4800
199,RIO,FLN,6,4,4900
200,REC,MCZ,10,3,5600
201,FLN,REC,7,3,4400
202,SAO,REC,6,4,5700
203,SSA,BSB,10,5,2000
204,MCZ,BH,7,5,4000
205,RIO,PMW,4,4,3900
206,SSA,BH,5,3,3600
207,POA,SSA,9,4,2400
208,BH,PMW,2,5,5900
209,RIO,FLN,9,4,3600
210,MCZ,PMW,7,4,3700
211,BSB,MCZ,5,3,2800
212,PMW,SSA,10,5,5500
213,MCZ,POA,4,4,4900
214,POA,SAO,5,5,4300
215,BH,MCZ,5,3,5000
216,PMW,BH,3,5,5300
217,FLN,RIO,6,3,3500
218,BSB,SSA,3,3,4800
219,BH,SAO,7,4,3200
220,SSA,FLN,4,3,2100
221,MCZ,POA,7,3,5500
222,SSA,REC,9,3,2500
223,PMW,REC,4,5,5800
224,REC,SAO,10,4,3800
225,FLN,SSA,6,3,5500
226,BH,MCZ,8,5,5800
227,SSA,SAO,9,4,3800
228,FLN,RIO,6,4,2000
229,BH,PMW,5,3,2200
230,SP,RIO,3,5,4100
231,REC,MCZ,10,5,5400
232,MCZ,MCZ,9,4,3500
233,RIO,SSA,8,3,3200
234,REC,REC,4,3,5700
235,RIO,REC,2,5,3600
236,BH,BSB,7,3,3800
237,REC,PMW,6,3,4700
238,PMW,PMW,5,4,4400
239,RIO,RIO,10,4,4500
240,FLN,PMW,6,3,5500
241,PMW,SAO,5,3,5400
242,FLN,MCZ,2,4,5800
243,PMW,REC,8,3,2400
244,PMW,BSB,8,3,3900
245,REC,BSB,9,4,4900
246,SP,BH,9,5,4500
247,BH,PMW,3,4,5100
248,MCZ,FLN,7,4,5900
249,FLN,MCZ,2,5,2400
250,SAO,FLN,2,4,2100
251,RIO,POA,6,5,3900
252,PMW,PMW,8,4,5400
253,POA,BSB,10,4,5700
254,SAO,BSB,6,5,3300
255,FLN,MCZ,6,4,4000
256,MCZ,BSB,6,5,4800
257,PMW,MCZ,9,3,4700
258,REC,REC,5,4,5100
259,REC,BH,8,4,5800
260,BH,BSB,3,3,5800
261,SP,PMW,6,4,3700
262,REC,POA,7,5,5700
263,BH,SSA,3,3,5800
264,REC,RIO,9,3,2300
265,POA,RIO,5,3,4200
266,SSA,PMW,9,3,4500
267,SAO,POA,2,5,3800
268,MCZ,BH,4,4,4000
