Localização,Hotel,Vagas,Valor por dia,Estrelas
RIO,1,10,1000,5
RIO,2,20,500,4
RIO,3,10,600,2
BH,4,64,1858,3
PMW,5,7,1419,5
BH,6,33,290,3
FLN,7,46,1868,4
BSB,8,33,1665,3
BH,9,18,1269,2
MCZ,10,49,724,1
RIO,11,22,1089,2
SAO,12,37,1578,2
RIO,13,95,1169,2
REC,14,80,1552,2
FLN,15,35,1835,4
POA,16,46,1222,5
SAO,17,41,1040,4
PMW,18,50,1028,4
PMW,19,61,1959,5
RIO,20,51,824,1
FLN,21,98,1596,1
RIO,22,66,1628,2
MCZ,23,84,1184,2
PMW,24,57,632,4
PMW,25,14,873,3
REC,26,51,320,2
SAO,27,76,1672,1
BSB,28,93,1522,5
RIO,29,47,755,3
POA,30,85,948,4
SSA,31,93,1194,4
BH,32,68,462,1
SSA,33,33,1551,5
REC,34,9,1886,5
FLN,35,46,1232,4
BH,36,40,377,3
REC,37,22,887,3
BH,38,81,1500,2
BH,39,29,937,1
BH,40,91,1869,3
PMW,41,55,1525,2
BSB,42,75,349,1
SAO,43,89,746,3
BSB,44,88,1933,5
MCZ,45,57,1656,4
PMW,46,76,1939,5
PMW,47,10,568,4
POA,48,78,734,2
FLN,49,18,1077,4
MCZ,50,16,272,5
FLN,51,100,697,1
PMW,52,38,1091,2
REC,53,99,809,4
MCZ,54,23,631,2
BH,55,86,958,4
RIO,56,15,374,4
PMW,57,83,1718,1
REC,58,35,1614,2
SSA,59,51,400,3
BSB,60,9,1948,4
BH,61,65,847,1
BSB,62,17,1977,3
MCZ,63,27,572,3
BSB,64,46,751,2
BH,65,93,1758,1
BH,66,35,664,4
BH,67,15,1190,1
REC,68,59,804,4
SSA,69,90,1041,1
POA,70,31,1919,1
REC,71,36,539,3
SSA,72,40,1299,2
POA,73,62,1186,2
BSB,74,69,440,5
POA,75,48,1861,1
REC,76,29,1001,5
REC,77,30,236,2
SSA,78,82,1167,5
MCZ,79,78,1951,5
SSA,80,5,430,5
BH,81,38,1923,2
SSA,82,89,1856,4
SSA,83,88,1038,3
SSA,84,62,1623,4
POA,85,10,1436,5
RIO,86,10,921,4
RIO,87,39,1042,3
POA,88,40,305,5
RIO,89,8,465,1
REC,90,53,1673,4
FLN,91,40,637,1
MCZ,92,62,1536,2
REC,93,73,608,4
BSB,94,68,521,3
RIO,95,42,1990,2
FLN,96,86,1133,5
MCZ,97,35,723,3
BSB,98,26,1438,3
SSA,99,9,653,1
REC,100,6,1086,4
FLN,101,94,1834,4
BH,102,51,609,4
MCZ,103,73,548,2
REC,104,89,1723,5
PMW,105,84,1765,4
BSB,106,45,1090,5
REC,107,21,222,4
RIO,108,95,726,1
RIO,109,24,1033,3
REC,110,60,1493,3
PMW,111,55,1006,4
RIO,112,20,363,2
PMW,113,90,207,1
BSB,114,7,1963,1
SSA,115,97,686,5
SSA,116,26,1694,2
BSB,117,98,486,2
REC,118,17,807,1
PMW,119,87,420,1
BSB,120,84,733,3
MCZ,121,55,1225,3
RIO,122,55,711,1
MCZ,123,6,508,5
BH,124,45,1265,5
MCZ,125,76,942,3
FLN,126,89,1462,1
RIO,127,17,1219,4
POA,128,62,1746,5
SAO,129,75,1936,3
RIO,130,92,574,2
MCZ,131,11,1909,4
MCZ,132,96,241,3
RIO,133,46,500,2
SAO,134,43,788,5
FLN,135,94,1534,2
RIO,136,43,922,3
FLN,137,69,1199,3
SSA,138,40,936,4
BSB,139,80,1372,2
BH,140,5,1803,4
POA,141,38,1425,4
POA,142,14,1912,1
PMW,143,84,1917,5
BSB,144,84,1069,2
REC,145,68,232,2
FLN,146,39,719,1
SSA,147,67,566,3
BSB,148,12,1711,2
SSA,149,95,1821,5
PMW,150,35,436,2
SAO,151,8,1174,4
POA,152,100,235,3
REC,153,76,904,3
RIO,154,76,1219,2
BH,155,6,260,2
SAO,156,93,1379,4
PMW,157,29,807,1
MCZ,158,36,1245,2
SAO,159,46,516,5
FLN,160,7,1895,1
POA,161,28,339,5
SSA,162,51,1412,3
PMW,163,90,1828,2
BSB,164,71,1594,4
POA,165,41,1363,4
PMW,166,40,619,1
FLN,167,99,1399,4
POA,168,28,703,3
BSB,169,80,458,1
MCZ,170,18,514,3
MCZ,171,28,495,2
REC,172,7,1819,1
SAO,173,65,433,1
PMW,174,45,1933,2
POA,175,22,205,2
MCZ,176,55,1046,3
POA,177,88,769,1
BH,178,54,937,3
REC,179,17,1887,4
PMW,180,92,1967,4
BH,181,73,677,1
REC,182,39,1421,4
SSA,183,12,1591,4
BH,184,89,638,1
PMW,185,65,721,5
BSB,186,82,620,5
BSB,187,87,1109,5
BH,188,71,1408,4
SAO,189,10,234,1
PMW,190,91,585,2
SAO,191,53,1440,2
SAO,192,76,451,3
POA,193,100,1181,2
REC,194,95,1759,5
REC,195,82,700,1
BH,196,87,1771,3
SAO,197,32,270,1
PMW,198,85,1323,2
REC,199,15,1346,4
BH,200,82,1096,2
FLN,201,21,978,4
RIO,202,10,1155,1
POA,203,30,1088,1
SSA,204,51,1888,4
SSA,205,86,720,1
SAO,206,30,243,1
SAO,207,31,913,5
REC,208,14,1034,2
RIO,209,63,798,3
MCZ,210,76,665,5
BSB,211,31,1364,4
BH,212,17,1456,1
